分类,题干,A,B,C,D,E,正确答案,解析
基础科目,⽬前我国农业农村部确定实施强制免疫的动物疫病不包括（ ）。,⼜蹄疫,布鲁⽒菌病,⾼致病性禽流感,包⾍病,奶⽜结核病,E,"标准答案：E
出处：押题1.pdf
解析：《2021年国家动物疫病强制免疫计划》确定实施强制免疫的动物疫病有：⾼致病性禽流感、⼜蹄
疫、⼩反刍兽疫、布鲁⽒菌病、包⾍病。因此答案选E。"
基础科目,被称为细胞内“能量⼯⼚”的细胞器是（ ）。,溶酶体,线粒体,⾼尔基复合体,核糖体,内质⽹,B,"标准答案：B
出处：押题1.pdf
解析：线粒体存在于除成熟红细胞以外的所有细胞内，主要功能是进⾏氧化磷酸化，为细胞⽣命活动提供
直接能量，故被称为细胞内的“能量⼯⼚”。"
基础科目,髂肋肌沟内含针灸⽳位，其主要由（ ）构成。,背腰最长肌和头半棘肌,夹肌和头半棘肌,背腰最长肌和夹肌,颈多裂肌和头半棘肌,背腰最长肌和髂肋肌,E,"标准答案：E
出处：押题1.pdf
解析：背腰最长肌为全⾝最长肌⾁，呈三棱形，位于胸、腰椎棘突与横突和肋⾻椎⾻端所形成的夹⾓内。
髂肋肌由⼀束束斜向的肌束组成，位于背最长肌的腹外侧。髂肋肌与背腰最长肌之间形成髂肋肌
沟，沟内有针灸⽳位。"
基础科目,两侧同时收缩，可以上提下颌的肌⾁是（ ）。,⼜轮匝肌,颊肌,⿐唇提肌,下唇降肌,咬肌,E,"标准答案：E
出处：押题1.pdf
解析：咬肌位于下颌⽀的外侧；两侧同时收缩，可以上提下颌（闭⼜）；交替收缩，可使下颌左右运动，
以咀嚼⾷物。"
基础科目,⽪内注射是把药液注⼊⽪肤的（ ）。,基底层,真⽪层,透明层,⽪下组织,⾓质层,B,"标准答案：B
出处：押题1.pdf
解析：真⽪位于表⽪的深层，由致密结缔组织构成，是⽪肤最厚的⼀层；临诊上进⾏的⽪内注射即把药液
注⼊真⽪层内。真⽪层又可分为乳头层和⽹状层，两层相互移⾏，⽆明显界限。"
基础科目,在反刍动物中，瘤胃的黏膜上⽪是（ ）。,单层柱状上⽪,复层扁平上⽪,单层⽴⽅上⽪,复层柱状上⽪,单层扁平上⽪,B,"标准答案：B
出处：押题1.pdf
解析：反刍动物的胃为多室胃，依次为瘤胃、⽹胃、瓣胃和皱胃。①前三个胃的黏膜衬以复层扁平上⽪，
浅层细胞⾓化，且黏膜内不含腺体，主要起贮存⾷物和分解粗纤维的作⽤，故称为前胃。②皱胃黏
膜内分布有消化腺，能分泌胃液，均有化学性消化作⽤，又称真胃。"
基础科目,表⾯活性物质由肺脏中哪种细胞分泌？（ ）,尘细胞,K细胞,Ⅱ型肺泡细胞,杯状细胞,Ⅰ型肺泡细胞,C,"标准答案：C
出处：押题1.pdf
解析：肺泡上⽪根据细胞的形态和功能分为Ⅰ型肺泡细胞和Ⅱ型肺泡细胞。Ⅰ型肺泡细胞呈扁平状，是执⾏⽓
体交换的主要部分。Ⅱ型肺泡细胞分泌表⾯活性物质⾄肺泡上⽪细胞表⾯。表⾯活性物质具有降低肺
泡表⾯张⼒、稳定肺泡形态的作⽤。当呼⽓时，肺泡缩⼩，表⾯活性物质密度增加，肺泡表⾯张⼒
减⼩，肺泡回缩⼒降低，从⽽防⽌肺泡过度回缩⽽塌陷；吸⽓时，肺泡扩张，表⾯活性物质密度减
⼩，表⾯张⼒增⼤，肺泡回缩⼒增强，进⽽防⽌肺泡过度膨胀。"
基础科目,⽜肾类型属于（ ）。,有沟单乳头肾,光滑多乳头肾,有沟多乳头肾,光滑单乳头肾,复肾,C,"标准答案：C
出处：押题1.pdf
解析：相邻肾叶仅中部合并，肾表⾯以沟分开，每⼀肾叶仍保留独⽴的肾乳头，此肾为有沟多乳头肾，如
⽜的肾。"
基础科目,⽆⼦宫颈阴道部的动物是（ ）。,⽜,⽺,马,⽝,猪,E,"标准答案：E
出处：押题1.pdf
解析：猪⽆⼦宫颈阴道部，与阴道⽆明显的界限。"
基础科目,不再进⾏分裂⽽只有形态变化的⽣精细胞是（ ）。,次级精母细胞,精⼦细胞,初级精母细胞,精⼦,精原细胞,B,"标准答案：B
出处：押题1.pdf
解析：精原细胞经有丝分裂不断增殖，发育成初级精母细胞；初级精母细胞处于第⼀次减数分裂期，分裂
前期较长，有明显的分裂相；经第⼀次减数分裂产⽣2个次级精母细胞；次级精母细胞存在时间很
短，很快完成第⼆次减数分裂，产⽣2个单倍体的精⼦细胞；精⼦细胞不再进⾏分裂，只经变态形成
精⼦。"
基础科目,不属于内分泌组织的是（ ）。,黄体,垂体,肾⼩球旁复合体,卵泡,胰岛,B,"标准答案：B
出处：押题1.pdf
解析：内分泌系统包括独⽴的内分泌器官和分散存在其他器官中的内分泌组织。①内分泌器官包括甲状
腺、甲状旁腺、垂体、肾上腺和松果腺。②内分泌组织分散存在于其他器官内，共同组成混合腺的
器官，如胰脏内的胰岛、肾脏内的肾⼩球旁复合体、卵巢中的卵泡和黄体等。B项，属于内分泌器
官。"
基础科目,家禽的泌尿系统特殊，是因为它们（ ）。,两肾合并,膀胱发达,肾脏退化,⽆膀胱,肾脏发达,D,"标准答案：D
出处：押题1.pdf
解析：禽类泌尿系统由肾和输尿管组成，没有膀胱。因此说家禽的泌尿系统特殊。"
基础科目,⼼⾎管系统的组成包括（ ）。,⼼脏、动脉、静脉和淋巴管,⼼⾎管系统和淋巴系统,⾎液和淋巴系,⼼脏和⾎液,⼼脏、动静脉和⽑细⾎管,E,"标准答案：E
出处：押题1.pdf
解析：⼼⾎管系统是由⼼脏、动脉、⽑细⾎管和静脉构成。⼼是⾎液循环的动⼒器官；动脉是将⾎液由⼼
运输到全⾝各部的⾎管；静脉是将⾎液由全⾝各部运输到⼼的⾎管；⽑细⾎管是⾎液与组织液进⾏
物质交换的场所。"
基础科目,在妊娠早期，胎盘分泌的哪种激素通常作为鉴别妊娠的重要指标？（ ）,胎盘促乳素,绒⽑膜促性腺激素,雌激素,孕马⾎清促性腺激素,孕激素,B,"标准答案：B
出处：押题1.pdf
解析：胎盘为暂时性的内分泌器官，能够分泌绒⽑膜促性腺激素、孕激素、雌激素和胎盘促乳素等。在妊
娠早期，胎盘就能分泌绒⽑膜促性腺激素，通过检测其在尿液中的含量，就可初步判断动物妊娠与
否，因此常作为鉴别妊娠的重要指标。"
基础科目,不属于眼折光系统的结构是（ ）。,房⽔,晶状体,虹膜,玻璃体,⾓膜,C,"标准答案：C
出处：押题1.pdf
解析：眼球的内容物主要是折光体，包括晶状体、眼房⽔和玻璃体。其作⽤是与⾓膜⼀起，构成眼的折光
系统，将通过眼球的光线经过曲折，焦点集中在视⽹膜上，形成影像。"
基础科目,⼤多数家畜淋巴结的实质分为外周的⽪质和中央的髓质，但⽪质和髓质位置颠倒的是（ ）。,⽜,⽺,马,⽝,猪,E,"标准答案：E
出处：押题1.pdf
解析：猪的淋巴结与典型淋巴结的结构不同。仔猪的淋巴结“⽪质”和“髓质”的位置恰好相反。淋巴⼩结位
于中央区域，⽽不甚明显的淋巴索和少量较⼩的淋巴窦则位于周围。在成年猪，⽪质和髓质混合排
列。"
基础科目,⽪肤中保护深部组织不受紫外线损伤的细胞是（ ）。,梅克尔细胞,朗格汉斯细胞,棘细胞,⿊素细胞,基底细胞,D,"标准答案：D
出处：押题1.pdf
解析：⽪肤分为表⽪、真⽪和⽪下组织3层。表⽪位于⽪肤的最表层，由⾓质形成细胞和⾮⾓质形成细胞组
成。D项，⿊素细胞属于⾮⾓质形成细胞，其产⽣的⿊⾊素与⽪肤颜⾊深浅有关，并能吸收阳光中的
紫外线，从⽽保护深部组织不受紫外线损伤。"
基础科目,在静息状态下，细胞膜电位外正内负的状态称为（ ）。,反极化,复极化,去极化,超极化,极化,E,"标准答案：E
出处：押题1.pdf
解析：A项，去极化到膜外为负⽽膜内为正时称为反极化；B项，去极化后，膜内电位再向正常安静时外正
内负的极化状态恢复，称为复极化；C项，当细胞受到刺激后静息电位的数值向膜内负值减⼩的⽅向
变化称为去极化；D项，极化状态下膜电位向负值进⼀步增⼤的⽅向变化，称为超极化；E项，细胞
在静息状态下所保持的膜两侧电位外正内负的状态称为极化。"
基础科目,家畜胚胎着床，⼤概处于（ ）阶段。,孵化囊胚,原肠胚,桑葚胚,神经胚,32-细胞期,A,"标准答案：A
出处：押题1.pdf
解析：孵化囊胚是指脱去透明带的囊胚，开始与⼦宫内膜建⽴联系，即胚泡的着床。"
基础科目,⼼率加快时，（ ）。,舒张期不变、收缩期缩短,收缩期不变、舒张期缩短,⼼动周期持续时间延长,收缩期和舒张期均缩短，但后者缩短较前者明显,⼼动周期持续时间不变,D,"标准答案：D
出处：押题1.pdf
解析：⼼动周期是指⼼脏（⼼房和⼼室）每收缩、舒张⼀次，构成的⼀个机械活动周期。⼼动周期包括⼼
房和⼼室的收缩期和舒张期。⼼率是指每分钟内⼼脏搏动次数（⼼动周期数）。因此，⼼动周期的
持续时间与⼼率有关。正常情况下，在⼼动周期中，不论⼼房还是⼼室，都是舒张期长于收缩期；
如果⼼率加快，⼼动周期缩短时，收缩期和舒张期均将相应缩短，但⼀般情况下，舒张期的缩短更
为显著。"
基础科目,"参与⾻骼肌兴奋-收缩偶联所需的关键离⼦为（ ）。
＋",K －,Cl ＋,Na 2＋,Cu 2＋,Ca,E,"标准答案：E
出处：押题1.pdf
解析：兴奋收缩偶联是指把以膜电位的变化为特征的兴奋过程与以肌丝滑⾏为基础的收缩活动联系起来的
中介过程。⾻骼肌兴奋-收缩偶联⾄少包括3个主要过程：①兴奋通过横管系统传向肌细胞的深处；
2＋
②三联管结构处信息的传递；③肌浆⽹（即纵管系统）对Ca 的释放与再聚积。⾻骼肌的每次收
2＋
缩，都会相继出现膜电位的波动（动作电位）、Ca 浓度的波动（钙瞬变）和细胞的收缩和舒张。
其中，钙瞬变在细胞的电兴奋与机械收缩活动间起中介作⽤，因此，任何能影响钙瞬变幅度或变化
速率的病理和药物作⽤都会影响到肌⾁收缩能⼒。"
基础科目,⼩肠的运动形式不包括（ ）。,分节运动,蠕动,紧张性收缩,周期性移⾏性复合运动,容受性舒张,E,"标准答案：E
出处：押题1.pdf
解析：⼩肠的运动可以分为两个时期：①发⽣在进⾷后的消化期，有两种主要的运动形式，即分节运动和
蠕动，两者均发⽣在紧张性收缩基础上的；②发⽣在消化间期的周期性移⾏性复合运动（MMC）。"
基础科目,最基本的体温调节中枢位于（ ）。,丘脑,延髓,下丘脑,脑⼲⽹状结构,⼤脑⽪质,C,"标准答案：C
出处：押题1.pdf
解析：最基本的体温调节中枢位于下丘脑。在环境温度改变的情况下，动物通过下丘脑的体温调节中枢、
温度感受器、效应器等所构成的神经反射机制，调节机体的产热和散热过程，使之达到动态平衡，
维持体温恒定。"
基础科目,通过下列哪项可完成肾脏的泌尿功能？（ ）,肾单位、集合管和输尿管的活动,肾单位的活动,肾⼩体、肾⼩管和集合管的活动,集合管的活动,肾⼩体和肾⼩管的活动,C,"标准答案：C
出处：押题1.pdf
解析：尿的⽣成是由肾单位和集合管协同完成的。每个肾单位包括肾⼩体和肾⼩管两部分。肾⼩体包括肾
⼩球和肾⼩囊。尿的⽣成包括三个环节：①肾⼩球的滤过作⽤，形成原尿；②肾⼩管和集合管的重
吸收；③肾⼩管和集合管的分泌与排泄作⽤，形成终尿。"
基础科目,下列活动属于条件反射的是（ ）。,⼤量饮⽔后尿量增加,寒冷环境下⽪肤⾎管收缩,⾷物进⼊⼜腔后，引起胃腺分泌,炎热环境下出汗,看到酸梅时引起唾液分泌,E,"标准答案：E
出处：押题1.pdf
解析：ABCD四项，均属于⾮条件反射；⾮条件反射是动物在种族进化过程中通过遗传⽽获得的先天性反
射，是动物⽣下来就有的，⽽且有固定的反射途径。E项，看到酸梅时引起唾液分泌属于条件反射；
条件反射是动物在出⽣后的⽣活过程中，为适应个体所处的⽣活环境⽽逐渐建⽴起来的反射，没有
固定的反射途径，容易受环境影响⽽发⽣改变或消失。"
基础科目,下列激素的分泌，呈现昼夜节律的是（ ）。,褪⿊素,胰岛素,降钙素,甲状腺素,以上都不是,A,"标准答案：A
出处：押题1.pdf
解析：A项，褪⿊素主要由松果体合成和分泌的。其合成和分泌与昼夜光照节律有密切关系。光照能抑制松
果体的活动，使褪⿊素的分泌减少；⿊暗可促进松果体的活动，使褪⿊素分泌增加。"
基础科目,在家畜⽣殖系统中，卵巢上有排卵窝的⼀种动物是（ ）。,⽜,⽺,马,⽝,猪,C,"标准答案：C
出处：押题1.pdf
解析：马的卵巢呈⾖形，位于第4（右侧）⾄第5（左侧）腰椎横突腹侧。卵巢游离缘有⼀凹陷称排卵窝，
成熟卵泡由此排出。"
基础科目,维持蛋⽩质⼆级结构稳定的主要因素是（ ）。,疏⽔⼒,范德华⼒,氢键,共价键,离⼦键,C,"标准答案：C
出处：押题1.pdf
解析：蛋⽩质的⼆级结构是指多肽链主链的肽键之间借助氢键形成的有规则的构象，有α-螺旋、β-折叠和β-
转⾓等。因此，维持蛋⽩质⼆级结构稳定的主要因素是氢键。"
基础科目,糖酵解是在细胞的什么部位进⾏的？（ ）,胞液中,细胞核内,内质⽹膜上,细胞膜,线粒体基质,A,"标准答案：A
出处：押题1.pdf
解析：糖酵解途径是指在⽆氧情况下，葡萄糖⽣成乳酸并释放能量的过程，又称糖的⽆氧分解。糖的⽆氧
分解在细胞质中进⾏，可分为两个阶段：第⼀阶段由葡萄分解成丙酮酸；第⼆阶段是丙酮酸还原成
乳酸。"
基础科目,下列关于酶特点的叙述，不正确的是（ ）。,不稳定,都有辅因⼦参与催化反应,专⼀性强,具有可调节性,催化效率⾼,B,"标准答案：B
出处：押题1.pdf
解析：酶的特点包括：①有极⾼的催化效率；②有⾼度的专⼀性或特异性；③酶的活性具有可调节性；④
不稳定性。"
基础科目,可以在醌式结构和酚式结构之间互变的递氢体是（ ）。,FMN,CoA,FAD,CoQ ＋,NAD,D,"标准答案：D
出处：押题1.pdf
解析：辅酶Q又称泛醌，是依靠醌式结构与酚式结构之间的互变传递氢的⼀种递氢体。"
基础科目,为了使长链脂酰基从胞浆转运到线粒体内进⾏脂肪酸的β-氧化，所需要的载体为（ ）。,酰基载体蛋⽩,α-磷酸⽢油,⾁碱,CoA,柠檬酸,C,"标准答案：C
出处：押题1.pdf
解析：⾁碱将长链脂酰基从胞浆转运到线粒体内进⾏脂肪酸的β-氧化。脂肪酸的β-氧化⾸先是脂肪酸的活
化。脂肪酸须在胞液中消耗ATP的2个⾼能磷酸键活化为脂酰CoA，接着借助脂酰⾁碱转移系统从胞
液转移⾄线粒体内。"
基础科目,能由脂肪酸合成酮体的主要部位是（ ）。,脑,⾻骼肌,肾,红细胞,肝,E,"标准答案：E
出处：押题1.pdf
解析：酮体是在肝细胞线粒体中由⼄酰CoA缩合⽽成，酮体⽣成的全套酶系位于肝细胞线粒体的内膜或基
质中，其中HMG-CoA合成酶是此途径的限速酶。除肝脏外，肾脏也能⽣成少量酮体。"
基础科目,RNA和DNA彻底⽔解后的产物（ ）。,碱基不同，核糖不同,碱基不同，核糖相同,碱基相同，核糖不同,核糖相同，碱基相同,核糖相同，部分碱基不同,A,"标准答案：A
出处：押题1.pdf
解析：RNA和DNA彻底⽔解后的产物碱基不同，核糖不同。①所含碱基：DNA中含有胸腺嘧啶（T）和胞
嘧啶（C）以及腺嘌呤（A）和鸟嘌呤（G）；RNA中由尿嘧啶（U）代替胸腺嘧啶（T），所含嘌呤
种类与DNA⼀样。②所含核糖：RNA所含的糖是核糖，DNA中所含的是脱氧核糖。"
基础科目,⾎红蛋⽩与⼀氧化碳的结合能⼒⽐⾎红蛋⽩与氧的结合能⼒（ ）。,⼀样,专⼀,弱,特异,强,E,"标准答案：E
出处：押题1.pdf
解析：⾎红蛋⽩与⼀氧化碳结合的能⼒⽐与氧⽓结合的能⼒强200～300倍。"
